epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.3665,0.84839,2.03085,3.80169,1.34075,0.57437,0.14288,0.08382,0.06522,0.54508,0.147,0.08411,0.06067,0.87742,1.99663,2.72114,1.38271,0.0032906,0.0032906,0.0032906
2,155.652,0.72998,1.52143,2.43167,1.20887,0.47325,0.17273,0.12071,0.09113,0.48561,0.16907,0.11992,0.08378,0.9132,2.10143,2.52589,1.41473,0.00661082,0.00661082,0.00661082
3,233.557,0.8032,1.64359,2.3967,1.25574,0.41989,0.09731,0.05548,0.03656,0.42162,0.09638,0.05477,0.03371,1.31902,3.26024,4.72266,2.08939,0.00991783,0.00991783,0.00991783
4,320.749,0.86763,1.76145,2.44704,1.31107,0.28644,0.11583,0.04908,0.03272,0.28392,0.10774,0.04597,0.02818,1.34108,4.46293,6.0916,2.12814,0.0099406,0.0099406,0.0099406
5,397.951,0.85095,1.70549,2.27985,1.29496,0.33053,0.12492,0.06133,0.04292,0.33088,0.12255,0.05923,0.03769,1.14009,2.86891,3.40971,1.72292,0.0099208,0.0099208,0.0099208
6,473.48,0.82936,1.67502,2.1944,1.27977,0.28874,0.13602,0.07453,0.05219,0.28584,0.1251,0.07334,0.04719,1.25938,2.88572,3.1094,1.83628,0.009901,0.009901,0.009901
7,550.656,0.81789,1.6178,2.13901,1.2816,0.34445,0.16961,0.10858,0.08102,0.34927,0.16826,0.10958,0.07586,1.00814,2.24952,2.77889,1.54564,0.0098812,0.0098812,0.0098812
8,625.805,0.7825,1.5599,2.03826,1.24875,0.32727,0.18053,0.11677,0.087,0.32676,0.17917,0.11579,0.08224,1.00106,2.23394,2.70995,1.53004,0.0098614,0.0098614,0.0098614
9,701.658,0.78507,1.53695,1.98568,1.2464,0.28868,0.15586,0.09414,0.07092,0.28997,0.15061,0.09447,0.0661,1.02873,2.37071,3.0104,1.51889,0.0098416,0.0098416,0.0098416
10,777.059,0.78491,1.54976,2.00685,1.2556,0.41616,0.22712,0.18396,0.14144,0.41088,0.22772,0.18079,0.13139,0.88672,2.0421,2.19662,1.39936,0.0098218,0.0098218,0.0098218
11,852.054,0.75893,1.48662,1.90268,1.23053,0.36853,0.19577,0.15504,0.11695,0.36799,0.19368,0.15238,0.10871,0.95447,2.12635,2.3695,1.49888,0.009802,0.009802,0.009802
12,927.358,0.75133,1.47915,1.89459,1.22169,0.31085,0.197,0.14258,0.11012,0.31021,0.19135,0.14175,0.10409,0.93969,2.09268,2.52734,1.45496,0.0097822,0.0097822,0.0097822
13,1002.62,0.74432,1.44023,1.84428,1.21497,0.44422,0.25175,0.21451,0.1651,0.43946,0.24808,0.21365,0.15729,0.84961,1.78021,1.98136,1.35958,0.0097624,0.0097624,0.0097624
14,1078.71,0.73833,1.44405,1.78972,1.21156,0.40887,0.24495,0.20748,0.16109,0.40515,0.24378,0.20511,0.15103,0.85002,1.79869,2.02111,1.34197,0.0097426,0.0097426,0.0097426
15,1154.66,0.7324,1.41492,1.75239,1.20922,0.42504,0.25011,0.22503,0.17352,0.4315,0.24468,0.22422,0.16455,0.8492,1.76774,1.94878,1.34113,0.0097228,0.0097228,0.0097228
16,1229.71,0.71574,1.3611,1.71474,1.19312,0.38172,0.24292,0.21176,0.16486,0.38235,0.24185,0.21177,0.15479,0.83866,1.78808,1.99643,1.32748,0.009703,0.009703,0.009703
17,1304.07,0.70608,1.35431,1.68732,1.18518,0.39762,0.23914,0.22111,0.17424,0.40016,0.23981,0.22086,0.16645,0.8448,1.77795,2.01885,1.35622,0.0096832,0.0096832,0.0096832
