epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5389,1.07969,2.38742,5.23203,1.18599,0,0,0,0,0,0,0,0,0.86708,2.12249,5.06049,1.05544,0.00327684,0.00327684,0.00327684
2,68.7208,0.99212,1.99488,4.86955,1.10452,0.01405,0.03649,0.01184,0.00885,0.01366,0.03568,0.01148,0.00812,1.04656,2.32152,4.71853,1.21816,0.00659708,0.00659708,0.00659708
3,97.1792,1.12101,2.06676,4.16159,1.17563,0.43656,0.05503,0.01353,0.00906,0.43597,0.05194,0.01253,0.00751,1.33418,3.66439,4.13173,1.45924,0.00990413,0.00990413,0.00990413
4,144.742,1.16578,2.11752,3.49642,1.22126,0.32621,0.07454,0.01822,0.0126,0.32501,0.07114,0.01732,0.01073,1.29317,3.59647,inf,1.41993,0.0099406,0.0099406,0.0099406
5,173.975,1.12377,2.07208,3.23751,1.20678,0.31687,0.07763,0.02668,0.0177,0.31816,0.07182,0.02467,0.01418,1.24904,3.50325,3.55466,1.38895,0.0099208,0.0099208,0.0099208
6,207.124,1.08059,1.97013,3.03529,1.18237,0.34139,0.09591,0.03747,0.02534,0.34073,0.09397,0.03698,0.02284,1.17803,2.65656,3.22682,1.30055,0.009901,0.009901,0.009901
7,236.952,1.0748,1.94653,2.97603,1.17664,0.3453,0.09248,0.04692,0.03175,0.34296,0.09152,0.04644,0.02875,1.11555,2.51134,3.08035,1.27543,0.0098812,0.0098812,0.0098812
8,266.308,1.07434,1.94319,2.89858,1.17078,0.32556,0.09384,0.04813,0.03276,0.32421,0.09112,0.04707,0.02873,1.14881,2.44133,2.99222,1.31432,0.0098614,0.0098614,0.0098614
9,300.477,1.03017,1.82314,2.73357,1.15514,0.32526,0.10041,0.04977,0.03377,0.32402,0.09861,0.04777,0.02929,1.12169,2.58414,3.0809,1.24647,0.0098416,0.0098416,0.0098416
10,329.247,1.02327,1.84466,2.74948,1.15139,0.3112,0.08857,0.04711,0.03086,0.31111,0.08603,0.04589,0.02774,1.16111,2.53173,3.08109,1.31967,0.0098218,0.0098218,0.0098218
11,358.48,1.04225,1.86125,2.6638,1.15577,0.29713,0.12842,0.0601,0.042,0.29629,0.12787,0.06032,0.03952,1.04927,2.13991,3.08757,1.21991,0.009802,0.009802,0.009802
12,390.058,1.0288,1.80479,2.6058,1.13622,0.29201,0.13533,0.06955,0.04877,0.29134,0.13436,0.06921,0.04371,1.0609,2.20748,2.86129,1.22432,0.0097822,0.0097822,0.0097822
13,417.279,1.02781,1.81031,2.58533,1.14559,0.33712,0.11378,0.06944,0.04761,0.33696,0.11332,0.06921,0.04452,1.08649,2.2325,2.82566,1.26753,0.0097624,0.0097624,0.0097624
14,449.422,1.00436,1.76629,2.54806,1.13279,0.30203,0.12882,0.07795,0.05482,0.30098,0.12538,0.07731,0.04928,1.0135,2.14437,2.67747,1.18196,0.0097426,0.0097426,0.0097426
15,479.006,0.99922,1.78734,2.56758,1.1305,0.30701,0.14259,0.07067,0.0484,0.31689,0.14015,0.07012,0.04399,1.12396,2.22232,2.95856,1.28218,0.0097228,0.0097228,0.0097228
16,506.074,0.98851,1.73969,2.49247,1.12179,0.28269,0.13339,0.07859,0.05494,0.28327,0.13167,0.07796,0.04951,1.00779,2.07185,2.70638,1.19573,0.009703,0.009703,0.009703
